eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,medium,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.6290799456864975,0.6666440278892976,-0.03756408220280009,-0.11578986836825955,0.029796155647414887
eval-denovo,medium,R,marinfold-exp199-cw-p06-cool-step290400,19,0.6290799456864975,0.6838524343154223,-0.05477248862892485,-0.12386027776574719,-7.564905356991774e-05
eval-denovo,short,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9834774038765296,0.9862511814790915,-0.002773777602562156,-0.010191864878676259,0.00643996126123915
eval-denovo,short,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9834774038765296,0.9899099712791711,-0.00643256740264166,-0.01225125720420231,-0.001549828716638265
eval-denovo,short,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9834774038765296,0.9881038372894593,-0.00462643341292974,-0.012125688808361658,0.004413506799895491
eval-denovo,short,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.10782933061616833,0.10791616109494444,-8.683047877614711e-05,-0.0016184828267852638,0.001502749707697059
eval-denovo,short,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.10782933061616833,0.10815468748862009,-0.00032535687245179425,-0.0017311298129333162,0.0009356577507894911
eval-denovo,short,L,marinfold-exp199-cw-p06-cool-step290400,19,0.10782933061616833,0.10814204769986879,-0.0003127170837004738,-0.0017543859649122744,0.001118928066911911
eval-denovo,short,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.21041171639590064,0.2132879287477784,-0.0028762123518777647,-0.009928229665071783,0.0022586546580354526
eval-denovo,short,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.21041171639590064,0.21463385888163158,-0.004222142485730944,-0.01092557376361644,0.0016841616865380762
eval-denovo,short,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.21041171639590064,0.2152907029792181,-0.0048789865833174266,-0.011122402404736685,-0.0002467806344505774
eval-denovo,short,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.41865052920034085,0.4790950192970442,-0.06044449009670347,-0.09943196988638577,-0.029560625481392117
eval-denovo,short,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.41865052920034085,0.46990501211534746,-0.05125448291500654,-0.0932501928283319,-0.015619730663939102
eval-denovo,short,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.41865052920034085,0.4787646612381544,-0.06011413203781355,-0.10040128945926263,-0.029025692065917985
eval-denovo,short,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.5889257460140311,0.6463293748947398,-0.05740362888070869,-0.11311074581819487,0.0036428898987260067
eval-denovo,short,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.5889257460140311,0.6378740827807041,-0.04894833676667292,-0.1062475393640504,0.006766935667614625
eval-denovo,short,R,marinfold-exp199-cw-p06-cool-step290400,19,0.5889257460140311,0.6806879233449692,-0.09176217733093794,-0.13889639417599942,-0.0436111516878707
eval-test,all,AUC,marinfold-exp232-decontam-m2-p06-step145199,217,0.8983056021060689,0.9389570841307029,-0.040651482024634006,-0.049300308099346,-0.032142803235829825
eval-test,all,AUC,marinfold-exp232-decontam-m1-p02-step145199,217,0.8983056021060689,0.9254395375781069,-0.02713393547203815,-0.036275932993901125,-0.018112136554600575
eval-test,all,AUC,marinfold-exp199-cw-p06-cool-step290400,217,0.8983056021060689,0.9583553369141693,-0.060049734808100545,-0.06829836410374898,-0.051688743708471936
eval-test,all,L,marinfold-exp232-decontam-m2-p06-step145199,217,0.2650584818593216,0.5172373894738312,-0.2521789076145097,-0.27554631548293745,-0.22747181983824016
eval-test,all,L,marinfold-exp232-decontam-m1-p02-step145199,217,0.2650584818593216,0.4754255405907409,-0.21036705873141923,-0.23381668530287808,-0.18660607084571632
eval-test,all,L,marinfold-exp199-cw-p06-cool-step290400,217,0.2650584818593216,0.590740787285318,-0.32568230542599647,-0.3504612021007324,-0.3003172247648566
eval-test,all,L/2,marinfold-exp232-decontam-m2-p06-step145199,217,0.36516277597909075,0.6901647260742865,-0.32500195009519567,-0.3554986228964969,-0.2936559213857293
eval-test,all,L/2,marinfold-exp232-decontam-m1-p02-step145199,217,0.36516277597909075,0.6362885747562919,-0.27112579877720105,-0.3011187380955992,-0.2389988145088004
eval-test,all,L/2,marinfold-exp199-cw-p06-cool-step290400,217,0.36516277597909075,0.7735435746032027,-0.4083807986241119,-0.43861333908677047,-0.37653599840479474
eval-test,all,L/5,marinfold-exp232-decontam-m2-p06-step145199,217,0.49417862473925356,0.8142276828712952,-0.32004905813204154,-0.35329510184966195,-0.28703222123638494
eval-test,all,L/5,marinfold-exp232-decontam-m1-p02-step145199,217,0.49417862473925356,0.7680752205225999,-0.2738965957833463,-0.3082648423038519,-0.24047354184764982
eval-test,all,L/5,marinfold-exp199-cw-p06-cool-step290400,217,0.49417862473925356,0.8759833924095445,-0.3818047676702908,-0.4159875166434244,-0.34767078739419555
eval-test,all,R,marinfold-exp232-decontam-m2-p06-step145199,217,0.27704102664309804,0.5376552851103137,-0.2606142584672157,-0.28546625858184255,-0.2360948839320364
eval-test,all,R,marinfold-exp232-decontam-m1-p02-step145199,217,0.27704102664309804,0.49309655879073966,-0.21605553214764156,-0.23992878619387828,-0.19301098119293247
