eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-test,long,L/2,marinfold-exp199-cw-p06-cool-step290400,217,0.22373852192723193,0.656709139181075,-0.43297061725384295,-0.465499465092999,-0.40052331167308974
eval-test,long,L/5,marinfold-exp232-decontam-m2-p06-step145199,217,0.3119465895411544,0.7347327743414981,-0.42278618480034363,-0.4608576785264301,-0.3846671545918544
eval-test,long,L/5,marinfold-exp232-decontam-m1-p02-step145199,217,0.3119465895411544,0.6844861136579217,-0.3725395241167673,-0.41205756312517333,-0.3327137868872762
eval-test,long,L/5,marinfold-exp199-cw-p06-cool-step290400,217,0.3119465895411544,0.8184900122109735,-0.5065434226698192,-0.5436719577247578,-0.46919364884332604
eval-test,long,R,marinfold-exp232-decontam-m2-p06-step145199,217,0.20423244128099577,0.5128096398272495,-0.30857719854625376,-0.3359760803781404,-0.2814124696861296
eval-test,long,R,marinfold-exp232-decontam-m1-p02-step145199,217,0.20423244128099577,0.46202349377501456,-0.2577910524940188,-0.28567049875159045,-0.2311260162128568
eval-test,long,R,marinfold-exp199-cw-p06-cool-step290400,217,0.20423244128099577,0.5945341917549347,-0.39030175047393895,-0.4183809420500196,-0.36139929569868906
eval-test,medium,AUC,marinfold-exp232-decontam-m2-p06-step145199,217,0.9047088326416082,0.9510460036547711,-0.04633717101316278,-0.053743338404468495,-0.038889403443079
eval-test,medium,AUC,marinfold-exp232-decontam-m1-p02-step145199,217,0.9047088326416082,0.9423261076071655,-0.03761727496555726,-0.04495749184124566,-0.03022614350726298
eval-test,medium,AUC,marinfold-exp199-cw-p06-cool-step290400,217,0.9047088326416082,0.9688259617438605,-0.06411712910225217,-0.07159517693994179,-0.05697926134748623
eval-test,medium,L,marinfold-exp232-decontam-m2-p06-step145199,217,0.11413756565709635,0.1484719236875398,-0.03433435803044345,-0.03859575459034744,-0.03016210051430549
eval-test,medium,L,marinfold-exp232-decontam-m1-p02-step145199,217,0.11413756565709635,0.14443811427444328,-0.030300548617346948,-0.03441063297924279,-0.02619563510895156
eval-test,medium,L,marinfold-exp199-cw-p06-cool-step290400,217,0.11413756565709635,0.15734897818125498,-0.04321141252415866,-0.04803073431325214,-0.03862110824618384
eval-test,medium,L/2,marinfold-exp232-decontam-m2-p06-step145199,217,0.17402013153761314,0.2675751582040092,-0.09355502666639609,-0.1040029022234732,-0.0835025923705861
eval-test,medium,L/2,marinfold-exp232-decontam-m1-p02-step145199,217,0.17402013153761314,0.2536425517101154,-0.0796224201725023,-0.08985495876817898,-0.07002925206014972
eval-test,medium,L/2,marinfold-exp199-cw-p06-cool-step290400,217,0.17402013153761314,0.29221225339232587,-0.11819212185471271,-0.12923717184793768,-0.10734601681544217
eval-test,medium,L/5,marinfold-exp232-decontam-m2-p06-step145199,217,0.2771556041533135,0.5034625598231587,-0.22630695566984518,-0.2479741202141026,-0.20451338038573952
eval-test,medium,L/5,marinfold-exp232-decontam-m1-p02-step145199,217,0.2771556041533135,0.46891945143579505,-0.19176384728248164,-0.21405678575994883,-0.1699078823938775
eval-test,medium,L/5,marinfold-exp199-cw-p06-cool-step290400,217,0.2771556041533135,0.5595490760705003,-0.2823934719171869,-0.3057114328271688,-0.25875809822555884
eval-test,medium,R,marinfold-exp232-decontam-m2-p06-step145199,217,0.29360187520886816,0.5624512756501372,-0.2688494004412691,-0.29398014568370495,-0.24303564081007906
eval-test,medium,R,marinfold-exp232-decontam-m1-p02-step145199,217,0.29360187520886816,0.5246485797480663,-0.2310467045391982,-0.25807444597247375,-0.20546778917404337
eval-test,medium,R,marinfold-exp199-cw-p06-cool-step290400,217,0.29360187520886816,0.6382226361247029,-0.34462076091583477,-0.36982219052956883,-0.31855849008967285
eval-test,short,AUC,marinfold-exp232-decontam-m2-p06-step145199,217,0.9127310536980936,0.9497258409183398,-0.03699478722024617,-0.04315882186447089,-0.0306752035620553
eval-test,short,AUC,marinfold-exp232-decontam-m1-p02-step145199,217,0.9127310536980936,0.9427249845435854,-0.029993930845491762,-0.03571931513074062,-0.02426657925278246
eval-test,short,AUC,marinfold-exp199-cw-p06-cool-step290400,217,0.9127310536980936,0.9623174536548603,-0.049586399956766634,-0.055823912145712036,-0.04320180010277006
eval-test,short,L,marinfold-exp232-decontam-m2-p06-step145199,217,0.10575327807407074,0.11786912236024717,-0.012115844286176436,-0.014051321114444775,-0.010249306084654559
eval-test,short,L,marinfold-exp232-decontam-m1-p02-step145199,217,0.10575327807407074,0.11578312612660581,-0.010029848052535073,-0.011763593765173216,-0.008328539444343436
eval-test,short,L,marinfold-exp199-cw-p06-cool-step290400,217,0.10575327807407074,0.12144897161150657,-0.01569569353743584,-0.01803889853207483,-0.01351483705657217
eval-test,short,L/2,marinfold-exp232-decontam-m2-p06-step145199,217,0.1730478993088905,0.21586569485106646,-0.042817795542175956,-0.048124365109387425,-0.0374990548412838
eval-test,short,L/2,marinfold-exp232-decontam-m1-p02-step145199,217,0.1730478993088905,0.21010482086859258,-0.03705692155970212,-0.041994655114274776,-0.03215210728129341
eval-test,short,L/2,marinfold-exp199-cw-p06-cool-step290400,217,0.1730478993088905,0.22932439055158121,-0.056276491242690733,-0.06235867920832277,-0.05023172137569288
eval-test,short,L/5,marinfold-exp232-decontam-m2-p06-step145199,217,0.2975985959056483,0.43862473023360943,-0.14102613432796107,-0.15690963413115763,-0.12509721832123732
eval-test,short,L/5,marinfold-exp232-decontam-m1-p02-step145199,217,0.2975985959056483,0.4180972684948285,-0.12049867258918008,-0.13622117189761518,-0.10477637894639509
eval-test,short,L/5,marinfold-exp199-cw-p06-cool-step290400,217,0.2975985959056483,0.4799220903802688,-0.18232349447462046,-0.199403810919111,-0.16607010823523286
eval-test,short,R,marinfold-exp232-decontam-m2-p06-step145199,217,0.3588832451539106,0.5698183742447792,-0.21093512909086856,-0.23223882397916834,-0.18912291959415575
eval-test,short,R,marinfold-exp232-decontam-m1-p02-step145199,217,0.3588832451539106,0.5429419083574997,-0.184058663203589,-0.20446406283874471,-0.16352569048934185
eval-test,short,R,marinfold-exp199-cw-p06-cool-step290400,217,0.3588832451539106,0.6380585139578154,-0.2791752688039048,-0.30084174421032756,-0.2573557734949779
eval-val,all,AUC,marinfold-exp232-decontam-m2-p06-step145199,97,0.8864381630044107,0.930843513349874,-0.04440535034546342,-0.05937256064153747,-0.028910362621956166
eval-val,all,AUC,marinfold-exp232-decontam-m1-p02-step145199,97,0.8864381630044107,0.9141726878693619,-0.027734524864951416,-0.04273305536326843,-0.012465822566105195
eval-val,all,AUC,marinfold-exp199-cw-p06-cool-step290400,97,0.8864381630044107,0.9511468990924388,-0.06470873608802812,-0.07902299876150022,-0.050107731047630784
eval-val,all,L,marinfold-exp232-decontam-m2-p06-step145199,97,0.23248783221440195,0.4918380918228299,-0.2593502596084279,-0.2986593639161503,-0.21921424110922957
eval-val,all,L,marinfold-exp232-decontam-m1-p02-step145199,97,0.23248783221440195,0.4450470843258541,-0.21255925211145213,-0.25139190975241854,-0.17338719548695444
eval-val,all,L,marinfold-exp199-cw-p06-cool-step290400,97,0.23248783221440195,0.5558179141472164,-0.3233300819328143,-0.36089257878933023,-0.28695562864851926
eval-val,all,L/2,marinfold-exp232-decontam-m2-p06-step145199,97,0.32225356614043665,0.6623635574153294,-0.34010999127489266,-0.3889583049301632,-0.2923429683555548
eval-val,all,L/2,marinfold-exp232-decontam-m1-p02-step145199,97,0.32225356614043665,0.6032565429097271,-0.28100297676929037,-0.3310380862776088,-0.2319859087264239
eval-val,all,L/2,marinfold-exp199-cw-p06-cool-step290400,97,0.32225356614043665,0.7367977234236753,-0.4145441572832387,-0.46217917877262205,-0.3641404940561445
eval-val,all,L/5,marinfold-exp232-decontam-m2-p06-step145199,97,0.45568818105379183,0.7852283338437647,-0.32954015278997273,-0.3830879647648198,-0.27704760148941815
eval-val,all,L/5,marinfold-exp232-decontam-m1-p02-step145199,97,0.45568818105379183,0.7381090819041171,-0.2824209008503251,-0.33621495958162984,-0.22958159013712856
eval-val,all,L/5,marinfold-exp199-cw-p06-cool-step290400,97,0.45568818105379183,0.8497502016393036,-0.39406202058551176,-0.44723643382345696,-0.34318712807563356
eval-val,all,R,marinfold-exp232-decontam-m2-p06-step145199,97,0.24771644329033637,0.5197991295291134,-0.27208268623877707,-0.31106950025275776,-0.2327391232154423
eval-val,all,R,marinfold-exp232-decontam-m1-p02-step145199,97,0.24771644329033637,0.4731469398933443,-0.22543049660300785,-0.26572489804018357,-0.18486144465854565
eval-val,all,R,marinfold-exp199-cw-p06-cool-step290400,97,0.24771644329033637,0.5889941956209451,-0.3412777523306087,-0.38119023064907553,-0.301662078806785
eval-val,long,AUC,marinfold-exp232-decontam-m2-p06-step145199,97,0.8693570189299015,0.9182671025307647,-0.048910083600863345,-0.0678260453724253,-0.030604008979621386
eval-val,long,AUC,marinfold-exp232-decontam-m1-p02-step145199,97,0.8693570189299015,0.8986847672795095,-0.02932774834960789,-0.047882191785631134,-0.011770518932113372
eval-val,long,AUC,marinfold-exp199-cw-p06-cool-step290400,97,0.8693570189299015,0.9429864051831524,-0.07362938625325077,-0.09248500429828442,-0.05498129977506673
eval-val,long,L,marinfold-exp232-decontam-m2-p06-step145199,97,0.15661644582045453,0.36755768909315556,-0.21094124327270106,-0.24573361886288392,-0.1776017236040238
eval-val,long,L,marinfold-exp232-decontam-m1-p02-step145199,97,0.15661644582045453,0.32842932676176284,-0.17181288094130834,-0.20506046105191827,-0.13756427763590418
eval-val,long,L,marinfold-exp199-cw-p06-cool-step290400,97,0.15661644582045453,0.4176866096250474,-0.2610701638045928,-0.2962428738296551,-0.22716828831911284
eval-val,long,L/2,marinfold-exp232-decontam-m2-p06-step145199,97,0.22147643588846694,0.5493253579849966,-0.3278489220965296,-0.3777276949418033,-0.277851807271319
eval-val,long,L/2,marinfold-exp232-decontam-m1-p02-step145199,97,0.22147643588846694,0.4854779413564274,-0.2640015054679605,-0.31404011586763797,-0.2143929016179725
eval-val,long,L/2,marinfold-exp199-cw-p06-cool-step290400,97,0.22147643588846694,0.6265616194853307,-0.40508518359686374,-0.45381469815925746,-0.35669528459242716
eval-val,long,L/5,marinfold-exp232-decontam-m2-p06-step145199,97,0.31945740631421843,0.7173543837392916,-0.39789697742507324,-0.4601941974395937,-0.33565500107801327
eval-val,long,L/5,marinfold-exp232-decontam-m1-p02-step145199,97,0.31945740631421843,0.6525319551367836,-0.3330745488225652,-0.396837548605425,-0.2679202218940154
eval-val,long,L/5,marinfold-exp199-cw-p06-cool-step290400,97,0.31945740631421843,0.7942537683904219,-0.4747963620762034,-0.5343228124620382,-0.41212173903303195
eval-val,long,R,marinfold-exp232-decontam-m2-p06-step145199,97,0.20733489397146512,0.5017295196551887,-0.29439462568372365,-0.33773920632906385,-0.2529419019675777
eval-val,long,R,marinfold-exp232-decontam-m1-p02-step145199,97,0.20733489397146512,0.4480411783786616,-0.24070628440719644,-0.28495535278713163,-0.19699732409224455
eval-val,long,R,marinfold-exp199-cw-p06-cool-step290400,97,0.20733489397146512,0.5756649575748539,-0.3683300636033888,-0.41067470359246355,-0.32539924638851986
eval-val,medium,AUC,marinfold-exp232-decontam-m2-p06-step145199,97,0.8943263617817965,0.9503064813356854,-0.05598011955388889,-0.06869104449143529,-0.04320319498630941
eval-val,medium,AUC,marinfold-exp232-decontam-m1-p02-step145199,97,0.8943263617817965,0.9351067781717335,-0.040780416389937,-0.053799415195366795,-0.027865703570988925
